Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 176;OSSIGENO*200 bar gas med compresso bomb in acciaio 16 bombole in acciaio 50 litri con valvola erogatrice;1701,92;1091,20;-;LINDE MEDICALE Srl;039133463;044;176,00
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 132;OSSIGENO*200 bar gas med compresso pacchi bomb 12 bomb in acciaio 50 litri;1276,44;818,40;-;SICO SpA;039134200;041;132,00
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 140,8;OSSIGENO*200 bar gas med compresso pacchi bomb 16 bomb in acciaio 40 litri;1361,54;872,96;-;SICO SpA;039134198;043;140,80
Ossigeno;OSSIGENO GAS COMPRESSO 20 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 220;OSSIGENO*200 bar gas med compresso pacchi bomb 20 bomb in acciaio 50 litri;2127,40;1364,00;-;SICO SpA;039134212;047;220,00
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 105,6;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb 40 litri;1021,15;654,72;-;S.I.A.D. SpA;038943433;040;105,60
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 105,6;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb 40 litri;1021,15;654,72;-;NIPPON GASES PHARMA Srl;038944284;040;105,60
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 105,6;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb 40 litri;1021,15;654,72;-;NIPPON GASES PHARMA Srl;038962142;040;105,60
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 132;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb 50 litri;1276,44;818,40;-;NIPPON GASES PHARMA Srl;038944296;041;132,00
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 132;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb 50 litri;1276,44;818,40;-;NIPPON GASES PHARMA SUD Srl;038962155;041;132,00
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 105,6;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 40 litri;1021,15;654,72;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904571;040;105,60
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 105,6;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 40 litri;1021,15;654,72;-;CONSORZIO ITALIANO OSSIGENO;038907224;040;105,60
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 105,6;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 40 litri;1021,15;654,72;-;SAPIO LIFE Srl;039017381;040;105,60
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 105,6;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 40 litri;1021,15;654,72;-;MEDICAIR ITALIA Srl;039110376;040;105,60
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 105,6;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 40 litri;1021,15;654,72;-;CER MEDICAL Srl;039150331;040;105,60
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 132;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 50 litri;1276,44;818,40;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904583;041;132,00
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 132;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 50 litri;1276,44;818,40;-;SAPIO LIFE Srl;039017417;041;132,00
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 132;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 50 litri;1276,44;818,40;-;MEDICAIR ITALIA Srl;039110352;041;132,00
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 132;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 50 litri;1276,44;818,40;-;SOL SpA;039132182;041;132,00
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 132;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio 50 litri;1276,44;818,40;-;LINDE MEDICALE Srl;039133121;041;132,00
Ossigeno;OSSIGENO GAS COMPRESSO 12 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 132;OSSIGENO*200 bar gas med compresso pacco bomb 12 bomb in acciaio litri 50 svolti 132000;1276,44;818,40;-;VOXISUD Srl;039160270;041;132,00
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 140,8;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb 40 litri;1361,54;872,96;-;CONSORZIO ITALIANO OSSIGENO;038907349;043;140,80
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 140,8;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb 40 litri;1361,54;872,96;-;S.I.A.D. SpA;038943445;043;140,80
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 140,8;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb 40 litri;1361,54;872,96;-;NIPPON GASES PHARMA Srl;038944308;043;140,80
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 140,8;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb 40 litri;1361,54;872,96;-;MAGALDI LIFE Srl;038961153;043;140,80
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 140,8;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb 40 litri;1361,54;872,96;-;VOXISUD Srl;039160130;043;140,80
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 176;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb 50 litri;1701,92;1091,20;-;S.I.A.D. SpA;038943458;044;176,00
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 176;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb 50 litri;1701,92;1091,20;-;NIPPON GASES PHARMA Srl;038944310;044;176,00
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 176;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb 50 litri;1701,92;1091,20;-;VOXISUD Srl;039160142;044;176,00
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 30 LT METRI CUBI SVOLTI 105,6;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb in acciaio 30 litri;1021,15;654,72;-;MEDICAIR ITALIA Srl;039110580;042;105,60
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 140,8;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb in acciaio 40 litri;1361,54;872,96;-;SAPIO LIFE Srl;039017393;043;140,80
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 140,8;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb in acciaio 40 litri;1361,54;872,96;-;MEDICAIR ITALIA Srl;039110388;043;140,80
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 176;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb in acciaio 50 litri;1701,92;1091,20;-;SAPIO LIFE Srl;039017429;044;176,00
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 176;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb in acciaio 50 litri;1701,92;1091,20;-;MEDICAIR ITALIA Srl;039110364;044;176,00
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 176;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb in acciaio 50 litri;1701,92;1091,20;-;SOL SpA;039132194;044;176,00
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 176;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb in acciaio 50 litri;1701,92;1091,20;-;CER MEDICAL Srl;039150343;044;176,00
Ossigeno;OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 60 LT METRI CUBI SVOLTI 211,2;OSSIGENO*200 bar gas med compresso pacco bomb 16 bomb in acciaio 60 litri;2042,30;1309,44;-;SAPIO LIFE Srl;039017431;045;211,20
Ossigeno;OSSIGENO GAS COMPRESSO 20 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 176;OSSIGENO*200 bar gas med compresso pacco bomb 20 bomb in acciaio 40 litri;1701,92;1091,20;-;SAPIO LIFE Srl;039017405;046;176,00
Ossigeno;OSSIGENO GAS COMPRESSO 20 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 220;OSSIGENO*200 bar gas med compresso pacco bomb 20 bomb in acciaio 50 litri;2127,40;1364,00;-;SOL SpA;039132206;047;220,00
Ossigeno;OSSIGENO GAS COMPRESSO 9 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 99;OSSIGENO*200 bar gas med compresso pacco bomb 9 bomb in acciaio 50 litri;957,33;613,80;-;SOL SpA;039132170;050;99,00
Ossigeno;OSSIGENO GAS COMPRESSO 20 UNITA' 300 BAR 50 LT METRI CUBI SVOLTI 315,2;OSSIGENO*300 bar gas med compresso pacco 20 bomb 50 litri;4573,55;2931,36;-;GAS TECNICI FOLIGNO Srl;039106152;048;315,20
Ossigeno;OSSIGENO GAS CRIOGENICO 1.000 LT METRI CUBI SVOLTI 855,54;OSSIGENO*gas med criogenico contenitore fisso 1.000 litri;6,55/m³;4,20/m³;-;SAPIO PRODUZ.IDROGENO OSSIGENO;038901524;051;855,54
Ossigeno;OSSIGENO GAS CRIOGENICO 1.000 LT METRI CUBI SVOLTI 855,54;OSSIGENO*gas med criogenico contenitore fisso 1.000 litri;6,55/m³;4,20/m³;-;NIPPON GASES PHARMA Srl;038944462;051;855,54
Ossigeno;OSSIGENO GAS CRIOGENICO 1.000 LT METRI CUBI SVOLTI 855,54;OSSIGENO*gas med criogenico contenitore fisso 1.000 litri;6,55/m³;4,20/m³;-;MEDICAIR ITALIA Srl;039110592;051;855,54
Ossigeno;OSSIGENO GAS CRIOGENICO 1.000 LT METRI CUBI SVOLTI 855,54;OSSIGENO*gas med criogenico contenitore fisso 1.000 litri;6,55/m³;4,20/m³;-;SOL SpA;039132218;051;855,54
Ossigeno;OSSIGENO GAS CRIOGENICO 1.000 LT METRI CUBI SVOLTI 855,54;OSSIGENO*gas med criogenico contenitore fisso 1.000 litri;6,55/m³;4,20/m³;-;SICO SpA;039134236;051;855,54
Ossigeno;OSSIGENO GAS CRIOGENICO 1.000 LT METRI CUBI SVOLTI 855,54;OSSIGENO*gas med criogenico contenitore fisso 1.000 litri;6,55/m³;4,20/m³;-;CER MEDICAL Srl;039150394;051;855,54
Ossigeno;OSSIGENO GAS CRIOGENICO 1.300 LT METRI CUBI SVOLTI 1112,20;OSSIGENO*gas med criogenico contenitore fisso 1.300 litri;6,55/m³;4,20/m³;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904672;052;1.112,20
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;SAPIO PRODUZ.IDROGENO OSSIGENO;038901536;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904684;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;CONSORZIO ITALIANO OSSIGENO;038907301;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;S.I.A.D. SpA;038943510;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;NIPPON GASES PHARMA Srl;038944373;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;MEDICAIR ITALIA Srl;039110010;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;SOL SpA;039132220;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;LINDE MEDICALE Srl;039133196;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;SICO SpA;039134248;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.500 LT METRI CUBI SVOLTI 1283,31;OSSIGENO*gas med criogenico contenitore fisso 1.500 litri;6,55/m³;4,20/m³;-;CER MEDICAL Srl;039150406;053;1.283,31
Ossigeno;OSSIGENO GAS CRIOGENICO 1.800 LT METRI CUBI SVOLTI 1539,97;OSSIGENO*gas med criogenico contenitore fisso 1.800 litri;6,55/m³;4,20/m³;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904696;055;1.539,97
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;SAPIO PRODUZ.IDROGENO OSSIGENO;038901575;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904746;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;CONSORZIO ITALIANO OSSIGENO;038907337;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;S.I.A.D. SpA;038943561;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;NIPPON GASES PHARMA Srl;038944409;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;MEDICAIR ITALIA Srl;039110059;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;SOL SpA;039132257;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;LINDE MEDICALE Srl;039133222;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;SICO SpA;039134275;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;CER MEDICAL Srl;039150457;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 10.000 LT METRI CUBI SVOLTI 8555,40;OSSIGENO*gas med criogenico contenitore fisso 10.000 litri;6,55/m³;4,20/m³;-;VOXISUD Srl;039160181;057;8.555,40
Ossigeno;OSSIGENO GAS CRIOGENICO 12.000 LT METRI CUBI SVOLTI 10266,48;OSSIGENO*gas med criogenico contenitore fisso 12.000 litri;6,55/m³;4,20/m³;-;SAPIO PRODUZ.IDROGENO OSSIGENO;038901652;058;10.266,48
Ossigeno;OSSIGENO GAS CRIOGENICO 12.000 LT METRI CUBI SVOLTI 10266,48;OSSIGENO*gas med criogenico contenitore fisso 12.000 litri;6,55/m³;4,20/m³;-;S.I.A.D. SpA;038943573;058;10.266,48
Ossigeno;OSSIGENO GAS CRIOGENICO 14.000 LT METRI CUBI SVOLTI 11977,56;OSSIGENO*gas med criogenico contenitore fisso 14.000 litri;6,55/m³;4,20/m³;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904759;059;11.977,56
Ossigeno;OSSIGENO GAS CRIOGENICO 15.000 LT METRI CUBI SVOLTI 12833,10;OSSIGENO*gas med criogenico contenitore fisso 15.000 litri;6,55/m³;4,20/m³;-;S.I.A.D. SpA;038943585;060;12.833,10
Ossigeno;OSSIGENO GAS CRIOGENICO 15.000 LT METRI CUBI SVOLTI 12833,10;OSSIGENO*gas med criogenico contenitore fisso 15.000 litri;6,55/m³;4,20/m³;-;NIPPON GASES PHARMA Srl;038944411;060;12.833,10
Ossigeno;OSSIGENO GAS CRIOGENICO 15.000 LT METRI CUBI SVOLTI 12833,10;OSSIGENO*gas med criogenico contenitore fisso 15.000 litri;6,55/m³;4,20/m³;-;SOL SpA;039132269;060;12.833,10
Ossigeno;OSSIGENO GAS CRIOGENICO 15.000 LT METRI CUBI SVOLTI 12833,10;OSSIGENO*gas med criogenico contenitore fisso 15.000 litri;6,55/m³;4,20/m³;-;LINDE MEDICALE Srl;039133234;060;12.833,10
Ossigeno;OSSIGENO GAS CRIOGENICO 2.000 LT METRI CUBI SVOLTI 1711,08;OSSIGENO*gas med criogenico contenitore fisso 2.000 litri;6,55/m³;4,20/m³;-;SAPIO PRODUZ.IDROGENO OSSIGENO;038901548;061;1.711,08
Ossigeno;OSSIGENO GAS CRIOGENICO 2.000 LT METRI CUBI SVOLTI 1711,08;OSSIGENO*gas med criogenico contenitore fisso 2.000 litri;6,55/m³;4,20/m³;-;S.I.A.D. SpA;038943522;061;1.711,08
Ossigeno;OSSIGENO GAS CRIOGENICO 2.000 LT METRI CUBI SVOLTI 1711,08;OSSIGENO*gas med criogenico contenitore fisso 2.000 litri;6,55/m³;4,20/m³;-;NIPPON GASES PHARMA Srl;038944474;061;1.711,08
Ossigeno;OSSIGENO GAS CRIOGENICO 2.000 LT METRI CUBI SVOLTI 1711,08;OSSIGENO*gas med criogenico contenitore fisso 2.000 litri;6,55/m³;4,20/m³;-;MEDICAIR ITALIA Srl;039110022;061;1.711,08
Ossigeno;OSSIGENO GAS CRIOGENICO 2.000 LT METRI CUBI SVOLTI 1711,08;OSSIGENO*gas med criogenico contenitore fisso 2.000 litri;6,55/m³;4,20/m³;-;SICO SpA;039134491;061;1.711,08
Ossigeno;OSSIGENO GAS CRIOGENICO 2.000 LT METRI CUBI SVOLTI 1711,08;OSSIGENO*gas med criogenico contenitore fisso 2.000 litri;6,55/m³;4,20/m³;-;CER MEDICAL Srl;039150418;061;1.711,08
Ossigeno;OSSIGENO GAS CRIOGENICO 2.500 LT METRI CUBI SVOLTI 2138,85;OSSIGENO*gas med criogenico contenitore fisso 2.500 litri;6,55/m³;4,20/m³;-;SAPIO PRODUZ.IDROGENO OSSIGENO;038901625;062;2.138,85
Ossigeno;OSSIGENO GAS CRIOGENICO 20.000 LT METRI CUBI SVOLTI 17110,80;OSSIGENO*gas med criogenico contenitore fisso 20.000 litri;6,55/m³;4,20/m³;-;SAPIO PRODUZ.IDROGENO OSSIGENO;038901587;063;17.110,80
Ossigeno;OSSIGENO GAS CRIOGENICO 20.000 LT METRI CUBI SVOLTI 17110,80;OSSIGENO*gas med criogenico contenitore fisso 20.000 litri;6,55/m³;4,20/m³;-;S.I.A.D. SpA;038943597;063;17.110,80
Ossigeno;OSSIGENO GAS CRIOGENICO 20.000 LT METRI CUBI SVOLTI 17110,80;OSSIGENO*gas med criogenico contenitore fisso 20.000 litri;6,55/m³;4,20/m³;-;NIPPON GASES PHARMA Srl;038944423;063;17.110,80
Ossigeno;OSSIGENO GAS CRIOGENICO 20.000 LT METRI CUBI SVOLTI 17110,80;OSSIGENO*gas med criogenico contenitore fisso 20.000 litri;6,55/m³;4,20/m³;-;MEDICAIR ITALIA Srl;039110061;063;17.110,80
Ossigeno;OSSIGENO GAS CRIOGENICO 20.000 LT METRI CUBI SVOLTI 17110,80;OSSIGENO*gas med criogenico contenitore fisso 20.000 litri;6,55/m³;4,20/m³;-;SOL SpA;039132271;063;17.110,80
Ossigeno;OSSIGENO GAS CRIOGENICO 20.000 LT METRI CUBI SVOLTI 17110,80;OSSIGENO*gas med criogenico contenitore fisso 20.000 litri;6,55/m³;4,20/m³;-;LINDE MEDICALE Srl;039133246;063;17.110,80
Ossigeno;OSSIGENO GAS CRIOGENICO 20.000 LT METRI CUBI SVOLTI 17110,80;OSSIGENO*gas med criogenico contenitore fisso 20.000 litri;6,55/m³;4,20/m³;-;SICO SpA;039134287;063;17.110,80
Ossigeno;OSSIGENO GAS CRIOGENICO 21.000 LT METRI CUBI SVOLTI 17966,34;OSSIGENO*gas med criogenico contenitore fisso 21.000 litri;6,55/m³;4,20/m³;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904761;064;17.966,34
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;SAPIO PRODUZ.IDROGENO OSSIGENO;038901551;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904708;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;CONSORZIO ITALIANO OSSIGENO;038907313;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;S.I.A.D. SpA;038943534;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;NIPPON GASES PHARMA Srl;038944385;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;MEDICAIR ITALIA Srl;039110034;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;SOL SpA;039132232;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;LINDE MEDICALE Srl;039133208;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;SICO SpA;039134251;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 3.000 LT METRI CUBI SVOLTI 2566,62;OSSIGENO*gas med criogenico contenitore fisso 3.000 litri;6,55/m³;4,20/m³;-;CER MEDICAL Srl;039150420;065;2.566,62
Ossigeno;OSSIGENO GAS CRIOGENICO 30.000 LT METRI CUBI SVOLTI 25666,20;OSSIGENO*gas med criogenico contenitore fisso 30.000 litri;6,55/m³;4,20/m³;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904773;067;25.666,20
Ossigeno;OSSIGENO GAS CRIOGENICO 30.000 LT METRI CUBI SVOLTI 25666,20;OSSIGENO*gas med criogenico contenitore fisso 30.000 litri;6,55/m³;4,20/m³;-;S.I.A.D. SpA;038943609;067;25.666,20
Ossigeno;OSSIGENO GAS CRIOGENICO 30.000 LT METRI CUBI SVOLTI 25666,20;OSSIGENO*gas med criogenico contenitore fisso 30.000 litri;6,55/m³;4,20/m³;-;MEDICAIR ITALIA Srl;039110073;067;25.666,20
Ossigeno;OSSIGENO GAS CRIOGENICO 30.000 LT METRI CUBI SVOLTI 25666,20;OSSIGENO*gas med criogenico contenitore fisso 30.000 litri;6,55/m³;4,20/m³;-;SOL SpA;039132283;067;25.666,20
Ossigeno;OSSIGENO GAS CRIOGENICO 30.000 LT METRI CUBI SVOLTI 25666,20;OSSIGENO*gas med criogenico contenitore fisso 30.000 litri;6,55;4,20;-;LINDE MEDICALE Srl;039133400;067;25.666,20
Ossigeno;OSSIGENO GAS CRIOGENICO 35.000 LT METRI CUBI SVOLTI 29943,90;OSSIGENO*gas med criogenico contenitore fisso 35.000 litri;6,55/m³;4,20/m³;-;AIR LIQUIDE ITALIA GAS E S.Srl;038904898;068;29.943,90
Ossigeno;OSSIGENO GAS CRIOGENICO 4.000 LT METRI CUBI SVOLTI 3422,16;OSSIGENO*gas med criogenico contenitore fisso 4.000 litri;6,55/m³;4,20/m³;-;SAPIO PRODUZ.IDROGENO OSSIGENO;038901613;069;3.422,16
