Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Doxorubicina;DOXORUBICINA 50MG 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 flaconcino polv EV 50 mg;99,48;45,22;-;PFIZER ITALIA Srl;022393045;AMD;
Doxorubicina;DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 flacone EV 10 mg + 1 fiala solv 5 ml;19,55;8,89;-;PFIZER ITALIA Srl;022393033;ALW;
Doxorubicina;DOXORUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 flacone EV 200 mg 100 ml;424,07;192,76;-;PFIZER ITALIA Srl;022393084;ALY;
Tralokinumab;TRALOKINUMAB 300 MG 2 ML 2 UNITA' USO PARENTERALE;ADTRALZA*2 penne preriempite SC 300 mg 2 ml;2006,88;1216,00;-;LEO PHARMA A/S;049573049;UZH;
Tralokinumab;TRALOKINUMAB 150 MG 1ML 4 UNITA' USO PARENTERALE;ADTRALZA*2x2 siringhe preriempite SC 150 mg 1 ml confezione multipla;2006,88;1216,00;-;LEO PHARMA A/S;049573025;LSG;
Isoflurano;ISOFLURANO 100ML 6 UNITA' USO INALATORIO;AERRANE*6 flaconi inal 100 ml;214,46;129,94;-;BAXTER SpA;029033038;CKO;
Isoflurano;ISOFLURANO 250ML 6 UNITA' USO INALATORIO;AERRANE*6 flaconi inal 250 ml;604,84;366,48;-;BAXTER SpA;029033040;COO;
Isoflurano;ISOFLURANO 100ML USO INALATORIO;AERRANE*inal 100 ml;50,15;22,80;-;BAXTER SpA;029033014;BBT;
Isoflurano;ISOFLURANO 250ML USO INALATORIO;AERRANE*inal 250 ml;141,44;64,30;-;BAXTER SpA;029033026;BBV;
Everolimus;EVEROLIMUS 10MG 30 UNITA' USO ORALE;AFINITOR*30 cpr 10 mg;5719,63;3465,60;-;NOVARTIS EUROPHARM LTD;039398045;APQ;
Everolimus;EVEROLIMUS 5MG 30 UNITA' USO ORALE;AFINITOR*30 cpr 5 mg;4021,62;2436,75;-;NOVARTIS EUROPHARM LTD;039398019;APR;
Tirofiban;TIROFIBAN 12,5MG 50ML 1 UNITA' USO PARENTERALE;AGGRASTAT*1 flaconcino EV 50 ml 250 mcg/ml;262,90;159,30;-;ADVANZ PHARMA LTD;034357018;BMO;
